symbol,marketCap,sharesOutstanding,averageDailyVolume10Day
APA,14057979382.536377,310953000.0,7139026.0
BKR,27621670201.812508,1011220000.0,8141430.5
CVX,339245464611.1122,1906670000.0,8197917.9
COP,151491064356.73715,1218780000.0,7974879.7
CTRA,22693524955.322777,765504000.0,12506692.6
DVN,48588226759.63623,654000000.0,13286736.4
FANG,27869240398.160225,183590000.0,2464622.6
EOG,78020683881.85751,587724000.0,4664915.6
EQT,14954385830.661953,360360000.0,6911362.4
XOM,444082668527.4752,4070980000.0,19477930.6
HAL,32671415456.03885,904120000.0,9524139.6
HES,42929546257.11323,306180000.0,2288701.0
KMI,40116666051.59011,2248000000.0,18181011.9
MRO,19050579843.90977,629654000.0,14128655.4
MPC,49573381501.80328,441626000.0,3448075.1
OXY,65016561417.61129,900072000.0,16925164.7
OKE,26163005663.599976,447221000.0,2626522.6
PSX,47448418075.445274,463907000.0,3867001.2
PXD,57336745511.20584,235004000.0,2254571.4
SLB,73681612119.28482,1427600000.0,15781779.8
TRGP,15422207500.62272,226639000.0,1801959.7
VLO,45518660572.768005,367840000.0,3770442.0
WMB,38782532797.48864,1218810000.0,6834578.1
