symbol,marketCap,sharesOutstanding,averageDailyVolume10Day
MMM,67659645131.3645,551469000.0,2545841.7
AOS,6813727480.253927,125010000.0,1261902.6
ADP,99104074665.39005,414352000.0,1729979.3
ALK,5670517320.0,127542000.0,1356740.6
ALLE,9132073755.372253,87867000.0,888624.7
AAL,9237291580.0,651431000.0,27045387.9
AME,29757783473.238773,230281000.0,1402998.6
BA,85388714270.0,599177000.0,10947936.0
BR,17478096906.27702,117693000.0,798709.1
CHRW,11245522116.937153,116487000.0,2243047.1
CARR,33052375223.616833,834951000.0,4470249.0
CAT,111225141549.18005,516346000.0,3970556.4
CPRT,27408863430.0,476593000.0,1886630.0
CSGP,33648179840.0,406772000.0,2577003.2
CSX,59540849823.86701,2062610000.0,14891254.6
CMI,34134085842.973206,141375000.0,1319899.9
DE,116962730784.72366,296322000.0,1742315.3
DOV,18139652447.992035,139771000.0,1034062.5
ETN,59209720167.35708,398513000.0,2562311.7
EMR,48902630158.75354,571400000.0,4832827.6
EFX,20685189956.01726,122487000.0,1178639.3
EXPD,15026771907.615856,154456000.0,1759634.1
FAST,27409701287.023903,570961000.0,3508790.2
FDX,39792186052.44459,251352000.0,2971224.2
FTV,22521863315.326088,353199000.0,2351120.6
GNRC,7173438080.0,61888000.0,2732288.7
GD,68181597747.94889,274430000.0,1147415.8
GE,66099654465.38558,1090280000.0,7018494.9
HON,134931608649.2999,668140000.0,3920699.7
HWM,14625575541.125856,412283000.0,4005907.6
ITW,64758982057.411194,305068000.0,1046879.8
IR,20435924617.640915,404957000.0,3532138.7
JBHT,17671157189.92933,103770000.0,716668.7
J,14568416914.99,126714000.0,505716.2
JCI,39280967334.71773,687174000.0,5324853.5
LHX,46324777363.38753,189957000.0,1527608.0
LDOS,13837206251.068266,137193000.0,1018814.1
LMT,122334268594.2347,254519000.0,1476064.8
MAS,10300441410.335644,225203000.0,2432978.7
NSC,51395993611.05552,227782000.0,1369101.9
NOC,83446559972.77924,153053000.0,1149236.2
ODFL,30146060757.723427,110026000.0,1047924.9
OTIS,29095938484.505905,414869000.0,2123078.2
PCAR,32565332399.829308,522555000.0,2394472.7
PH,36974073315.68005,128266000.0,1098360.3
PAYX,42071755354.4817,360467000.0,1571466.1
PNR,7034898703.740931,164543000.0,1956121.1
PWR,20442425590.545612,144001000.0,1219886.7
RTX,137181781551.4612,1463210000.0,4627019.6
RSG,41752865276.27292,316039000.0,1515329.1
RHI,8139820252.772576,107698000.0,1257139.9
ROK,29059026853.767857,114782000.0,1005156.8
ROL,20594388300.75013,492744000.0,1619393.7
LUV,21378370669.133408,594287000.0,5546901.1
SWK,11785987043.784973,153055000.0,2410871.1
TXT,13930749079.406895,203660000.0,1182508.0
TT,36284821623.364494,229075000.0,1683197.6
UNP,119153179352.6619,611873000.0,4059125.4
UAL,14091166440.0,327093000.0,8106932.8
UPS,119232555716.80002,723299000.0,2847917.4
URI,21834655939.842144,69385000.0,732753.9
VRSK,28182263341.368645,154696000.0,1093883.8
WAB,16770774605.387674,180352000.0,1255957.1
WM,64091774676.8089,408152000.0,1819236.1
XYL,18357884048.689934,180278000.0,1079488.6
