symbol,marketCap,sharesOutstanding,averageDailyVolume10Day
ACN,187364426352.77094,662596000.0,2353850.4
ADBE,146056456000.0,458576000.0,4043981.8
AKAM,13803859080.0,156276000.0,1987277.0
AMD,96780083400.0,1611390000.0,90112815.8
APH,44843326155.29289,594605000.0,2630933.6
ADI,71485013208.53368,505853000.0,3891449.5
ANSS,19259939760.0,87086000.0,922115.7
AAPL,2415367392299.487,15821900000.0,97169504.3
AMAT,74260848048.49358,845118000.0,8664332.0
ANET,37140278000.0,307300000.0,3274453.9
ADSK,46027996900.0,214783000.0,1741558.6
AVGO,192983366048.46658,416924000.0,2322764.6
CDNS,41360959120.0,273208000.0,1970250.3
CDW,23291667862.716557,135592000.0,764300.9
CDAY,10236349690.0,154651000.0,3074831.2
CSCO,184597872493.84515,4095820000.0,19408589.2
CTSH,31423004825.99427,509295000.0,4724797.8
GLW,26817322247.35965,847232000.0,4067019.8
DXC,6545857500.0,227682000.0,2711674.3
ENPH,41904579000.0,136497000.0,3521430.6
EPAM,20187300000.0,57678000.0,513699.0
FFIV,8591892110.0,60121000.0,561441.7
FSLR,15519072130.0,106609000.0,3548935.7
FTNT,44817212560.0,784066000.0,7835011.5
IT,23870097120.0,79061000.0,593105.4
GEN,14237085126.664873,639129000.0,6781195.7
HPQ,26715998071.489365,985328000.0,8363402.4
IBM,120988573019.62743,896320000.0,4755767.0
INTC,114653397596.71008,4137000000.0,45257565.8
INTU,119697254079.82419,280546000.0,2499720.4
JNPR,9781030911.796331,323960000.0,3513475.5
KEYS,31022906850.0,178139000.0,1042320.5
KLAC,43528753337.05449,138480000.0,1777757.5
LRCX,54232762897.5108,134936000.0,2183993.5
MCHP,33523950522.422497,547796000.0,6715555.3
MU,58897319956.88198,1091180000.0,16473562.9
MSFT,1718742553213.715,7443800000.0,34121123.3
MPWR,16023678066.451124,47305000.0,850489.8
MSI,41489070505.08276,167250000.0,1103308.9
NTAP,14697377262.421158,213905000.0,1302979.8
NVDA,336208010786.3993,2492000000.0,55204998.2
NXPI,37512025098.05288,259519000.0,3024411.3
ON,26535794240.0,431968000.0,8539925.4
ORCL,209995803759.74176,2699800000.0,8026916.3
PAYC,20871066000.0,60321000.0,628873.5
PTC,13934929290.0,118263000.0,1317205.3
QRVO,8598445120.0,99889000.0,1613864.7
QCOM,129631521679.30907,1115000000.0,11088290.3
ROP,43974327270.61822,106243000.0,673043.7
CRM,162590000000.0,1000000000.0,7516156.0
STX,10002424590.141191,206484000.0,2692939.5
NOW,85410220000.0,203000000.0,1874988.0
SWKS,13506677211.887917,158974000.0,2397051.5
SEDG,12915494410.0,56147000.0,1606874.9
SNPS,44555950100.0,152302000.0,1009525.5
TEL,38301371425.062355,316101000.0,2285334.0
TER,12666333989.10035,156048000.0,1803714.8
TXN,144709897284.4516,907342000.0,6109272.1
TRMB,14856632320.0,246952000.0,1894067.4
VRSN,21024044340.0,104879000.0,688652.7
WDC,10975303360.0,319328000.0,4414890.2
ZBRA,14558924100.000002,51405000.0,691586.7
