symbol,marketCap,sharesOutstanding,averageDailyVolume10Day
ARE,24941693652.89256,173087000.0,658583.7
AMT,95768805284.12872,465646000.0,2069610.2
AVB,24265579996.103233,139920000.0,1044648.3
BXP,11237970053.035606,156823000.0,1504641.4
CPT,12228991052.563334,106700000.0,864744.6
CBRE,21983738480.0,309892000.0,2096971.9
CCI,56436389644.11028,433438000.0,2572207.5
DLR,28536504930.591484,291296000.0,2486410.6
EQIX,52056041764.88404,92784000.0,634861.0
EQR,23333369443.349266,378603000.0,2020711.3
ESS,14191157992.781631,64518000.0,765884.2
EXR,23484225809.17611,134985000.0,1417003.3
FRT,7878981000.431601,81353000.0,712466.0
PEAK,12698992323.326456,546993000.0,4552920.7
HST,13203245161.264727,713479000.0,8385390.9
INVH,19083160515.98799,611411000.0,4522005.5
IRM,14234608325.934196,290896000.0,1484757.2
KIM,12965504450.4126,619892000.0,4842169.0
MAA,18072918204.95567,116599000.0,663485.9
PLD,100824538149.05936,923429000.0,4131572.8
PSA,53535804231.02869,175795000.0,1072286.3
O,40499526352.41858,660521000.0,3839244.7
REG,10151037847.715305,171308000.0,1058998.7
SBAC,28988873125.01708,108039000.0,859429.9
SPG,34558484811.567726,326923000.0,2101096.9
UDR,12960380608.80244,329166000.0,2434999.1
VICI,31373143686.206974,1004200000.0,7800528.7
WELL,29435812547.332214,490644000.0,3164704.0
WY,21791695339.046455,732347000.0,3553581.2
