symbol,marketCap,sharesOutstanding,averageDailyVolume10Day
ACN,187364426352.77094,662596000.0,2353850.4
ADBE,146056456000.0,458576000.0,4043981.8
AKAM,13803859080.0,156276000.0,1987277.0
AMD,96780083400.0,1611390000.0,90112815.8
APH,44843326155.29289,594605000.0,2630933.6
ADI,71485013208.53368,505853000.0,3891449.5
ANSS,19259939760.0,87086000.0,922115.7
AAPL,2415367392299.487,15821900000.0,97169504.3
AMAT,74260848048.49358,845118000.0,8664332.0
ANET,37140278000.0,307300000.0,3274453.9
ADSK,46027996900.0,214783000.0,1741558.6
AVGO,192983366048.46658,416924000.0,2322764.6
CDNS,41360959120.0,273208000.0,1970250.3
CDW,23291667862.716557,135592000.0,764300.9
CDAY,10236349690.0,154651000.0,3074831.2
CSCO,184597872493.84515,4095820000.0,19408589.2
CTSH,31423004825.99427,509295000.0,4724797.8
GLW,26817322247.35965,847232000.0,4067019.8
DXC,6545857500.0,227682000.0,2711674.3
ENPH,41904579000.0,136497000.0,3521430.6
EPAM,20187300000.0,57678000.0,513699.0
FFIV,8591892110.0,60121000.0,561441.7
FSLR,15519072130.0,106609000.0,3548935.7
FTNT,44817212560.0,784066000.0,7835011.5
IT,23870097120.0,79061000.0,593105.4
GEN,14237085126.664873,639129000.0,6781195.7
HPE,18203856257.5327,1295870000.0,13010274.0
PAYC,20871066000.0,60321000.0,628873.5
