symbol,marketCap,sharesOutstanding,averageDailyVolume10Day
ATVI,57095147200.0,784274000.0,6236940.1
GOOGL,562901560000.0,5956000000.0,42927524.6
GOOG,564930880000.0,5968000000.0,36208260.3
T,128110375209.21423,7129870000.0,44954518.7
CHTR,56117560620.0,152651000.0,1430515.0
CMCSA,132511947427.39949,4206610000.0,25803574.5
DISH,4364410470.0,292717000.0,5840026.3
DIS,194628337400.0,1826810000.0,20623291.2
EA,34431429124.22173,274228000.0,2729748.9
FOXA,8511233981.451648,296917000.0,3529569.9
FOX,6414194363.076916,237644000.0,1332372.4
IPG,11277977488.56102,385108000.0,3579984.7
LYV,18436959510.0,231591000.0,2855624.2
MTCH,12066796800.0,279324000.0,6488653.4
META,207351801600.0,2225760000.0,80205979.4
NFLX,129987882360.0,445347000.0,8508923.1
NWSA,6402663039.06933,381915000.0,3932918.7
NWS,3286001679.721713,193021000.0,1424889.6
OMC,14500511087.954693,202713000.0,1290513.1
PARA,10902140869.878187,609812000.0,19435098.0
TMUS,184809232800.0,1219380000.0,5980143.9
TTWO,19984614000.0,168675000.0,4642132.3
VZ,154512498313.33197,4199880000.0,22087248.3
WBD,31590390000.0,2430030000.0,38087632.5
