symbol,marketCap,sharesOutstanding,averageDailyVolume10Day
ABT,171168863871.27908,1737950000.0,5507413.3
ABBV,255783175101.62616,1764140000.0,5468575.8
A,40848954961.83479,295702000.0,1280064.4
ALGN,14885323000.0,76610000.0,1450466.7
ABC,31600945402.042126,202258000.0,2680649.1
AMGN,142124227355.85944,533976000.0,3456092.4
BAX,27129683292.573925,505523000.0,4801854.2
BDX,66486874644.68048,283902000.0,2295102.9
TECH,11625334678.85447,157275000.0,521767.8
BIIB,40953111840.0,144486000.0,1165867.6
BSX,61963296300.0,1437330000.0,7599784.7
BMY,161313996913.6709,2098780000.0,10105948.0
CAH,19429507956.200233,257639000.0,4409118.2
CTLT,11837315700.0,180090000.0,5285002.2
CNC,46929189450.0,551265000.0,3495107.5
CRL,10821778500.0,50986000.0,780940.7
CI,95216603915.35106,297033000.0,2262466.4
CVS,120769987888.51675,1284110000.0,7951158.3
DHR,183189351563.05338,728577000.0,3226768.2
DVA,6600104000.0,90400000.0,1436546.1
XRAY,6611853318.784132,215362000.0,3306652.4
DXCM,46671082920.0,386414000.0,2886241.4
EW,44060110590.00001,608313000.0,8486130.7
ELV,129102877812.68025,237458000.0,1150653.9
LLY,342774383679.15045,952347000.0,3845724.5
GEHC,27505407900.0,454710000.0,8524012.5
GILD,96142907075.62311,1247110000.0,10183852.2
HCA,60014515804.74978,277255000.0,1333297.0
HSIC,8987702640.0,131284000.0,1457043.1
HOLX,16716361200.0,246554000.0,2193198.6
HUM,69694909894.11223,125075000.0,1373299.8
IDXX,29818551040.0,82903000.0,686404.1
ILMN,36153560000.0,158000000.0,1490679.6
INCY,16575218100.0,222965000.0,2026443.0
PODD,17998165020.0,69542000.0,933122.0
ISRG,86327842790.0,350257000.0,2452514.3
IQV,39028183470.0,186141000.0,951373.0
JNJ,535522521270.5994,3119840000.0,6866602.6
LH,19518815945.90898,88500000.0,942292.9
MCK,53162541321.8821,136939000.0,1433508.1
MDT,114176844514.99937,1330420000.0,7290875.9
MRK,253505006458.40115,2538590000.0,10107008.8
MRNA,57978973740.00001,385678000.0,5093008.6
MOH,20910413340.0,58269000.0,511752.3
OGN,6513854798.739864,254383000.0,2611038.3
PKI,16877232873.682049,126412000.0,1305269.0
PFE,258117650048.587,5644400000.0,22613988.9
DGX,15920336330.696363,111323000.0,1226903.5
REGN,80495866250.0,107507000.0,789546.5
RMD,32728825092.267693,146909000.0,586864.4
STE,17046458459.705208,99284000.0,670603.3
SYK,86578721328.00002,378831000.0,2155400.3
TMO,197870172931.9272,385430000.0,1879999.7
UNH,514437246683.3616,932847000.0,3303659.3
UHS,7325944109.134473,63417000.0,730523.3
VRTX,80212392000.0,257091000.0,1491021.4
VTRS,11858912222.839417,1196810000.0,11567045.8
WST,17062530413.568182,74270000.0,844593.9
ZBH,23765732883.762703,210064000.0,1545737.0
ZTS,69708080743.73616,463387000.0,3739427.9
